time,acceleration,time,lat. X accel.,lat. Y accel.,time,Gyro X,Gyro Y,Gyro Z,time,pressure,Pressure MSL,Pressure AGL,time,A Voltage,time,B Voltage,time,C Voltage,time,D Voltage,time,Mag X,Mag Y,Mag Z,time,eject. bat. voltage,time,comp. bat. voltage,time,state,A cont.,B cont.,C cont.,D cont.,A on., B on,C on,D on,time, QX, QY, QZ, QW, Angle,time,temperature,time,GPS Time of Week, valid leap seconds, leap seconds,time,lat,long,GPS MSL,SVs
0.091,-0,0.092,0,0,0.093,0,0,0,0.185,95060,535.07,-1.12793,0.484,3.3,0.484,3.3,0.484,3.3,0.484,3.3,0.904,-0.000158,-0.00015,-0.000315,0.908,8.35146,0.908,8.34172,0.91,Pad,1,1,1,1,0,0,0,0,0.915,-0.0306,-0.0305,0.999,6.1e-05,4.97,4.507,26.51,4.509,5400,0,18,29.281,35.34691,-117.80915,639.76202,8
0.191,-0,0.192,0,0,0.193,0,0,0,0.474,95059,535.157,-1.04077,0.961,3.3,0.969,3.3,0.969,3.3,0.969,3.3,1.904,-0.000158,-0.000148,-0.000315,1.907,8.34172,1.908,8.32873,1.91,Pad,1,1,1,1,0,0,0,0,1.916,-0.1,-0.0996,0.99,0.000336,16.2,9.507,26.62,9.509,74399800,0,18,31.248,35.34691,-117.80915,640.125,8
0.291,-0,0.292,0,0,0.293,0,0,0,0.585,95055,535.508,-0.689331,1.462,3.3,1.463,3.3,1.463,3.3,1.466,3.3,2.905,-0.000158,-0.00015,-0.000315,2.908,8.35471,2.909,8.34172,2.912,Pad,1,1,1,1,0,0,0,0,2.917,-0.169,-0.168,0.971,0.000488,27.6,14.506,26.71,14.509,74404800,0,18,33.183,35.346911,-117.80915,640.11505,9
0.487,1.04297,0.488,-0.015625,-0.015625,0.488,0,-0.07,0.35,0.785,95058,535.247,-0.950928,1.962,3.3,1.962,3.3,1.963,3.3,1.967,3.3,3.905,-0.000158,-0.000148,-0.000318,3.907,8.34172,3.909,8.33198,3.911,Pad,1,1,1,1,0,0,0,0,3.917,-0.236,-0.235,0.943,0.000671,38.9,19.507,26.78,19.509,74410000,0,18,35.13,35.346912,-117.80915,640.00604,9
0.534,1.03906,0.534,-0.015625,-0.0117188,0.535,0.14,-0.14,-0.07,0.985,95057,535.334,-0.863708,2.461,3.3,2.47,3.3,2.47,3.3,2.471,3.3,4.904,-0.00016,-0.000149,-0.000315,4.908,8.35471,4.908,8.34172,4.91,Pad,1,1,1,1,0,0,0,0,4.915,-0.3,-0.3,0.905,0.000732,50.2,24.506,26.86,24.509,74415000,0,18,37.0989,35.346912,-117.80915,640.11304,16
0.593,1.03516,0.593,-0.015625,-0.0117188,0.593,0.21,-0.14,-0.28,1.185,95058,535.247,-0.950928,2.961,3.3,2.962,3.3,2.963,3.3,2.966,3.3,5.904,-0.000166,-0.000147,-0.000318,5.907,8.34497,5.909,8.33198,5.911,Pad,1,1,1,1,0,0,0,0,5.915,-0.362,-0.362,0.859,0.000763,61.6,29.507,26.91,29.51,74420200,0,18,39.0559,35.346912,-117.80915,639.87701,16
0.692,1.04297,0.692,-0.015625,-0.015625,0.693,0.14,-0.14,0,1.385,95053,535.683,-0.514954,3.468,3.3,3.468,3.3,3.469,3.3,3.469,3.3,6.904,-0.000166,-0.000147,-0.000318,6.908,8.35796,6.909,8.34172,6.911,Pad,1,1,1,1,0,0,0,0,6.916,-0.42,-0.42,0.804,0.000793,72.9,34.507,26.97,34.511,74425200,1,18,41.0219,35.346912,-117.80915,639.74701,16
0.791,1.04297,0.793,-0.0117188,-0.015625,0.794,0.14,-0.14,-0.14,1.585,95058,535.247,-0.950928,3.963,3.3,3.963,3.3,3.966,3.3,3.967,3.3,7.90399,-0.000168,-0.000146,-0.000318,7.90699,8.34497,7.90799,8.33198,7.90999,Pad,1,1,1,1,0,0,0,0,7.91599,-0.475,-0.474,0.741,0.000702,84.3,39.5069,27.05,39.5089,74430400,1,18,42.9809,35.346911,-117.80915,639.61804,16
0.891,1.03906,0.892,-0.015625,-0.015625,0.894,0.07,-0.14,0.07,1.785,95058,535.247,-0.950928,4.461,3.3,4.467,3.3,4.468,3.3,4.468,3.3,8.904,-0.000166,-0.000147,-0.000318,8.908,8.35146,8.909,8.34172,8.91,Pad,1,1,1,1,0,0,0,0,8.915,-0.524,-0.524,0.671,0.000702,95.7,44.5058,27.11,44.5098,74435400,1,18,44.9788,35.346912,-117.80915,639.37402,17
0.992,1.03906,0.992,-0.0117188,-0.0117188,0.994,0.14,-0.07,-0.21,1.985,95059,535.157,-1.04077,4.962,3.3,4.962,3.3,4.963,3.3,4.967,3.3,9.904,-0.000166,-0.000147,-0.000315,9.907,8.34497,9.908,8.33523,9.911,Pad,1,1,1,1,0,0,0,0,9.916,-0.569,-0.568,0.594,0.000671,107,49.5068,27.16,49.5088,74440600,1,18,46.9278,35.346912,-117.80915,639.15906,17
1.092,1.04297,1.093,-0.0117188,-0.0195312,1.094,0.14,-0.07,0.14,2.185,95056,535.421,-0.77655,5.461,3.3,5.469,3.3,5.469,3.3,5.469,3.3,10.904,-0.000166,-0.000145,-0.000315,10.907,8.34497,10.909,8.33523,10.91,Pad,1,1,1,1,0,0,0,0,10.915,-0.608,-0.607,0.512,0.000641,118,54.5067,27.23,54.5097,74445600,1,18,48.8738,35.346912,-117.80915,639.06104,17
1.191,1.04688,1.192,-0.015625,-0.015625,1.194,0.14,-0.14,-0.14,2.385,95058,535.247,-0.950928,5.962,3.3,5.963,3.3,5.966,3.3,5.967,3.3,11.905,-0.000171,-0.000146,-0.000312,11.907,8.35146,11.908,8.34172,11.911,Pad,1,1,1,1,0,0,0,0,11.917,-0.64,-0.64,0.424,0.000488,130,59.5056,27.29,59.5086,74450800,1,18,50.8108,35.346912,-117.80915,639.00702,17
1.293,1.03906,1.293,-0.015625,-0.0117188,1.294,0.14,-0.14,0,2.586,95061,534.982,-1.21515,6.461,3.3,6.462,3.3,6.463,3.3,6.466,3.3,12.904,-0.000171,-0.000145,-0.000315,12.907,8.34172,12.909,8.32873,12.911,Pad,1,1,1,1,0,0,0,0,12.916,-0.667,-0.667,0.332,0.000458,141,64.5095,27.34,64.5095,74455800,1,18,52.7747,35.346913,-117.80915,638.96704,17
1.392,1.03906,1.393,-0.0117188,-0.0117188,1.393,0,-0.14,-0.21,2.785,95055,535.508,-0.689331,6.961,3.3,6.962,3.3,6.969,3.3,6.971,3.3,13.905,-0.000168,-0.000146,-0.000312,13.908,8.35471,13.908,8.34172,13.91,Pad,1,1,1,1,0,0,0,0,13.915,-0.687,-0.687,0.236,0.000366,153,69.5095,27.41,69.5125,74461000,1,18,54.7417,35.346913,-117.80915,638.93506,17
1.491,1.05078,1.493,-0.0117188,-0.0195312,1.494,0.21,-0.21,0.14,2.993,95058,535.247,-0.950928,7.46099,3.3,7.46799,3.3,7.46799,3.3,7.46899,3.3,14.904,-0.000168,-0.000145,-0.000312,14.908,8.34172,14.908,8.32873,14.91,Pad,1,1,1,1,0,0,0,0,14.915,-0.7,-0.7,0.139,0.000153,164,74.5074,27.46,74.5084,74466200,1,18,56.7066,35.346913,-117.80915,638.93402,17
1.591,1.03516,1.593,-0.015625,-0.015625,1.593,0.14,-0.21,-0.21,3.185,95059,535.157,-1.04077,7.96299,3.3,7.96299,3.3,7.96399,3.3,7.96699,3.3,15.904,-0.000171,-0.000146,-0.00031,15.909,8.35471,15.909,8.34172,15.912,Pad,1,1,1,1,0,0,0,0,15.917,-0.707,-0.707,0.0393,9.16e-05,175,79.5054,27.53,79.5094,74471200,1,18,58.6566,35.346914,-117.80915,638.94104,17
1.692,1.03125,1.693,-0.015625,-0.0117188,1.693,0.07,-0.07,0.07,3.385,95054,535.595,-0.602112,8.46399,3.3,8.46699,3.3,8.46699,3.3,8.46799,3.3,16.904,-0.000168,-0.000146,-0.000315,16.907,8.34172,16.909,8.33198,16.911,Pad,1,1,1,1,0,0,0,0,16.917,-0.707,-0.707,0.0117,-0.000427,179,84.5063,27.58,84.5093,74476400,1,18,60.6526,35.346914,-117.80915,638.97101,17
1.791,1.03906,1.793,-0.015625,-0.015625,1.794,0.07,-0.21,-0.14,3.585,95054,535.595,-0.602112,8.961,3.3,8.962,3.3,8.968,3.3,8.968,3.3,17.904,-0.000168,-0.000147,-0.00031,17.908,8.35471,17.909,8.34172,17.911,Pad,1,1,1,1,0,0,0,0,17.915,-0.707,-0.708,0.0106,0.00146,179,89.5052,27.64,89.5082,74481400,1,18,62.5996,35.346915,-117.80915,638.98303,18
1.891,1.03125,1.892,-0.0195312,-0.015625,1.895,0.07,-0.21,0,3.785,95055,535.508,-0.689331,9.461,3.3,9.464,3.3,9.465,3.3,9.467,3.3,18.904,-0.000168,-0.000144,-0.00031,18.907,8.34172,18.908,8.33198,18.91,Pad,1,1,1,1,0,0,0,0,18.916,-0.706,-0.708,0.00922,0.00223,179,94.5051,27.69,94.5081,74486600,1,18,64.5445,35.346915,-117.80915,638.99902,18
1.991,1.03906,1.993,-0.0195312,-0.015625,1.994,0.14,-0.21,-0.21,3.985,95065,534.631,-1.56659,9.962,3.3,9.964,3.3,9.964,3.3,9.964,3.3,19.904,-0.000171,-0.000146,-0.00031,19.908,8.35471,19.909,8.34172,19.911,Pad,1,1,1,1,0,0,0,0,19.917,-0.706,-0.708,0.0103,0.00186,179,99.506,27.74,99.508,74491600,1,18,66.4995,35.346915,-117.80915,639.00305,18
2.091,1.03516,2.092,-0.015625,-0.0117188,2.094,0.14,-0.07,0.07,4.185,95059,535.157,-1.04077,10.462,3.3,10.462,3.3,10.463,3.3,10.469,3.3,20.904,-0.000171,-0.000144,-0.000307,20.907,8.34172,20.909,8.32873,20.911,Pad,1,1,1,1,0,0,0,0,20.915,-0.706,-0.708,0.0121,-0.00061,178,104.506,27.8,104.509,74496800,1,18,68.4575,35.346916,-117.80915,638.98804,18
2.191,1.03125,2.192,-0.015625,-0.015625,2.193,0.07,-0.14,-0.07,4.385,95058,535.247,-0.950928,10.961,3.3,10.962,3.3,10.969,3.3,10.969,3.3,21.905,-0.000171,-0.000145,-0.000307,21.907,8.35146,21.909,8.33848,21.911,Pad,1,1,1,1,0,0,0,0,21.917,-0.706,-0.708,0.011,0,179,109.506,27.85,109.508,74501800,1,18,70.4044,35.346916,-117.80914,638.96204,18
2.291,1.03125,2.294,-0.015625,-0.015625,2.294,0.07,-0.14,0,4.589,95064,534.718,-1.47937,11.463,3.3,11.463,3.3,11.464,3.3,11.464,3.3,22.904,-0.000171,-0.000144,-0.000307,22.908,8.34172,22.908,8.32873,22.911,Pad,1,1,1,1,0,0,0,0,22.917,-0.706,-0.708,0.0116,-0.000732,179,114.507,27.89,114.508,74507000,1,18,72.3724,35.346917,-117.80914,638.96002,17
2.391,1.04297,2.393,-0.0195312,-0.015625,2.394,0.21,-0.07,-0.07,4.785,95058,535.247,-0.950928,11.961,3.3,11.964,3.3,11.964,3.3,11.965,3.3,23.904,-0.000171,-0.000145,-0.000304,23.907,8.35146,23.908,8.33848,23.91,Pad,1,1,1,1,0,0,0,0,23.915,-0.706,-0.708,0.0101,0.000183,179,119.505,27.94,119.508,74512000,1,18,74.3134,35.346917,-117.80914,638.99103,19
2.493,1.04688,2.493,-0.015625,-0.015625,2.494,0.07,-0.14,0,4.985,95057,535.334,-0.863708,12.461,3.3,12.462,3.3,12.463,3.3,12.469,3.3,24.904,-0.000168,-0.000144,-0.000307,24.909,8.34172,24.908,8.33198,24.91,Pad,1,1,1,1,0,0,0,0,24.915,-0.706,-0.708,0.0109,0.00229,179,124.505,27.99,124.508,74517200,1,18,76.2664,35.346917,-117.80914,638.94202,22
2.592,1.03906,2.593,-0.015625,-0.015625,2.593,0.14,-0.14,0,5.186,95058,535.247,-0.950928,12.963,3.3,12.963,3.3,12.963,3.3,12.964,3.3,25.904,-0.000171,-0.000145,-0.000304,25.908,8.35146,25.909,8.34172,25.911,Pad,1,1,1,1,0,0,0,0,25.917,-0.706,-0.708,0.0113,0,179,129.506,28.05,129.509,74522200,1,18,78.2284,35.346917,-117.80914,638.86005,22
2.692,1.04297,2.692,-0.015625,-0.015625,2.693,0.07,-0.14,0,5.385,95059,535.157,-1.04077,13.461,3.3,13.462,3.3,13.463,3.3,13.465,3.3,26.904,-0.000171,-0.000144,-0.000307,26.908,8.34172,26.908,8.32873,26.91,Pad,1,1,1,1,0,0,0,0,26.916,-0.706,-0.708,0.0111,9.16e-05,179,134.505,28.1,134.508,74527400,1,18,80.1804,35.346917,-117.80914,638.76605,22
2.792,1.03125,2.793,-0.015625,-0.0195312,2.793,0.07,-0.14,-0.14,5.585,95058,535.247,-0.950928,13.961,3.3,13.962,3.3,13.965,3.3,13.966,3.3,27.905,-0.000174,-0.000145,-0.000307,27.908,8.35146,27.908,8.33848,27.911,Pad,1,1,1,1,0,0,0,0,27.918,-0.706,-0.708,0.011,0.000153,179,139.507,28.14,139.509,74532400,1,18,82.1463,35.346917,-117.80914,638.70703,22
2.891,1.03906,2.893,-0.0117188,-0.015625,2.894,0,-0.14,0,5.785,95059,535.157,-1.04077,14.461,3.3,14.464,3.3,14.465,3.3,14.465,3.3,28.904,-0.000168,-0.000144,-0.000307,28.907,8.34172,28.91,8.32873,28.911,Pad,1,1,1,1,0,0,0,0,28.915,-0.706,-0.708,0.0119,-0.000275,178,144.507,28.18,144.509,74537400,1,18,84.1173,35.346918,-117.80914,638.63702,22
