time,lat,long,GPS MSL,SVs
29.281,35.34691,-117.80915,639.76202,8
31.248,35.34691,-117.80915,640.125,8
33.183,35.346911,-117.80915,640.11505,9
35.13,35.346912,-117.80915,640.00604,9
37.0989,35.346912,-117.80915,640.11304,16
39.0559,35.346912,-117.80915,639.87701,16
41.0219,35.346912,-117.80915,639.74701,16
42.9809,35.346911,-117.80915,639.61804,16
44.9788,35.346912,-117.80915,639.37402,17
46.9278,35.346912,-117.80915,639.15906,17
48.8738,35.346912,-117.80915,639.06104,17
50.8108,35.346912,-117.80915,639.00702,17
52.7747,35.346913,-117.80915,638.96704,17
54.7417,35.346913,-117.80915,638.93506,17
56.7066,35.346913,-117.80915,638.93402,17
58.6566,35.346914,-117.80915,638.94104,17
60.6526,35.346914,-117.80915,638.97101,17
62.5996,35.346915,-117.80915,638.98303,18
64.5445,35.346915,-117.80915,638.99902,18
66.4995,35.346915,-117.80915,639.00305,18
68.4575,35.346916,-117.80915,638.98804,18
70.4044,35.346916,-117.80914,638.96204,18
72.3724,35.346917,-117.80914,638.96002,17
74.3134,35.346917,-117.80914,638.99103,19
76.2664,35.346917,-117.80914,638.94202,22
78.2284,35.346917,-117.80914,638.86005,22
80.1804,35.346917,-117.80914,638.76605,22
82.1463,35.346917,-117.80914,638.70703,22
84.1173,35.346918,-117.80914,638.63702,22
86.1042,35.346918,-117.80914,638.56903,22
88.0542,35.346918,-117.80914,638.61102,22
90.0602,35.346918,-117.80914,638.58905,22
91.9532,35.346918,-117.80914,638.52905,23
93.9231,35.346918,-117.80914,638.526,23
95.8781,35.346918,-117.80914,638.48901,25
97.8901,35.346918,-117.80914,638.46002,25
99.824,35.346918,-117.80914,638.38403,25
101.806,35.346918,-117.80914,638.31305,25
103.725,35.346917,-117.80914,638.21204,25
105.674,35.346917,-117.80914,638.10706,25
107.668,35.346917,-117.80913,638.00104,25
109.623,35.346917,-117.80913,637.85706,25
111.592,35.346917,-117.80913,637.75604,25
113.538,35.346916,-117.80913,637.66803,25
115.51,35.346917,-117.80913,637.625,25
117.452,35.346916,-117.80913,637.64606,26
119.416,35.346916,-117.80914,637.64606,26
121.38,35.346916,-117.80914,637.62305,26
123.33,35.346916,-117.80914,637.63202,25
125.282,35.346916,-117.80914,637.71002,26
127.245,35.346916,-117.80914,637.80603,26
129.205,35.346915,-117.80914,637.87103,26
131.174,35.346915,-117.80914,637.93701,26
133.177,35.346915,-117.80914,637.96802,26
135.124,35.346915,-117.80914,638.04803,26
137.104,35.346915,-117.80914,638.14301,26
139.074,35.346915,-117.80914,638.27106,26
141.038,35.346915,-117.80914,638.37903,26
142.996,35.346915,-117.80914,638.47205,26
144.962,35.346914,-117.80914,638.53003,26
146.918,35.346914,-117.80914,638.57703,25
148.872,35.346913,-117.80914,638.67102,26
150.835,35.346913,-117.80914,638.71002,26
152.795,35.346913,-117.80914,638.72302,26
154.751,35.346912,-117.80914,638.76605,26
156.73,35.346912,-117.80915,638.82501,26
158.697,35.346911,-117.80915,638.84503,26
160.652,35.346911,-117.80915,638.82703,26
162.616,35.346911,-117.80915,638.83105,26
164.576,35.34691,-117.80915,638.802,26
166.544,35.346909,-117.80915,638.78802,26
168.517,35.346909,-117.80915,638.80103,26
170.481,35.346908,-117.80915,638.80804,26
172.451,35.346908,-117.80915,638.75403,26
174.382,35.346908,-117.80915,638.742,26
176.323,35.346907,-117.80915,638.75201,26
178.287,35.346907,-117.80915,638.74402,26
180.263,35.346907,-117.80915,638.70203,25
182.221,35.346907,-117.80915,638.789,25
184.185,35.346907,-117.80915,638.82306,25
186.139,35.346907,-117.80915,638.80005,25
188.09,35.346908,-117.80915,638.76904,26
190.051,35.346907,-117.80915,638.74402,26
192.019,35.346908,-117.80915,638.70502,26
193.98,35.346908,-117.80915,638.71802,26
195.955,35.346908,-117.80915,638.70001,26
197.944,35.346909,-117.80915,638.68903,26
199.903,35.346909,-117.80914,638.69806,26
201.841,35.346909,-117.80914,638.67505,26
203.807,35.34691,-117.80914,638.65302,26
205.784,35.34691,-117.80914,638.65704,26
207.757,35.346911,-117.80914,638.64105,26
209.72,35.346911,-117.80914,638.62201,26
211.701,35.346912,-117.80914,638.64801,26
213.645,35.346913,-117.80914,638.63306,26
215.617,35.346914,-117.80914,638.65802,26
217.55,35.346915,-117.80914,638.60706,26
219.522,35.346915,-117.80914,638.64606,26
221.506,35.346916,-117.80914,638.66205,26
223.453,35.346917,-117.80914,638.66901,26
225.436,35.346917,-117.80914,638.651,26
227.385,35.346918,-117.80914,638.69501,26
229.364,35.346918,-117.80914,638.716,26
231.368,35.346919,-117.80914,638.79205,26
233.338,35.346919,-117.80914,638.86505,26
235.282,35.34692,-117.80914,638.96503,26
237.23,35.346921,-117.80914,639.02203,26
239.192,35.346921,-117.80914,639.05701,26
241.15,35.346922,-117.80914,639.11603,26
243.098,35.346922,-117.80914,639.15002,26
245.06,35.346922,-117.80914,639.23004,26
