Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,-1.781,undefined,-0.163312137,0.025227189,1.016991973,0.028304001,0.043920003
1.76514E+12,-1.692,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.681,undefined,-0.04997557,-0.072476745,1.01504004,0.027328001,0.040991999
1.76514E+12,-1.672,1.050048828,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.643,1.10671711,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.608,0.936712265,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.581,undefined,-0.04997557,0.122931123,1.017968059,0.031232001,0.040015999
1.76514E+12,-1.577,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.543,1.050048828,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.509,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.481,undefined,-0.04997557,0.074079156,1.018944025,0.026352001,0.041968003
1.76514E+12,-1.477,1.276721954,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.443,1.163385391,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.409,0.823375702,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.381,undefined,-0.106643848,-0.072476745,1.019919991,0.032207999,0.040015999
1.76514E+12,-1.374,1.050048828,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.344,1.10671711,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.324,0.936712265,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.304,1.050048828,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.281,undefined,-0.163312137,0.025227189,1.014064074,0.031232001,0.040015999
1.76514E+12,-1.273,1.10671711,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.242,0.936712265,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.217,1.10671711,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.197,0.936712265,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.181,undefined,-0.04997557,0.074079156,1.016016006,0.026352001,0.042943999
1.76514E+12,-1.164,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.134,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.101,1.276721954,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-1.081,undefined,0.176697612,0.220635056,1.013087988,0.030256001,0.040015999
1.76514E+12,-1.066,1.10671711,undefined,undefined,undefined,undefined,undefined
