time,GPS MSL
29.281,639.76202
30.281,640.76202
31.281,641.76202
32.281,642.76202
33.281,643.76202
34.281,644.76202
35.281,645.76202
36.281,646.76202
37.281,647.76202
38.281,648.76202
39.281,649.76202
40.281,650.76202
41.281,651.76202
42.281,652.76202
43.281,653.76202
44.281,654.76202
45.281,655.76202
46.281,656.76202
47.281,657.76202
48.281,658.76202
49.281,659.76202
50.281,660.76202
51.281,661.76202
52.281,662.76202
53.281,663.76202
54.281,664.76202
55.281,665.76202
56.281,666.76202
57.281,667.76202
58.281,668.76202
59.281,669.76202
60.281,670.76202
61.281,671.76202
62.281,672.76202
63.281,673.76202
64.281,674.76202
65.281,675.76202
66.281,676.76202
67.281,677.76202
68.281,678.76202
69.281,679.76202
70.281,680.76202
71.281,681.76202
72.281,682.76202
73.281,683.76202
74.281,684.76202
75.281,685.76202
76.281,686.76202
77.281,687.76202
78.281,688.76202
79.281,689.76202
80.281,690.76202
81.281,691.76202
82.281,692.76202
83.281,693.76202
84.281,694.76202
85.281,695.76202
86.281,696.76202
87.281,697.76202
88.281,698.76202
89.281,699.76202
90.281,700.76202
91.281,701.76202
92.281,702.76202
93.281,703.76202
94.281,704.76202
95.281,705.76202
96.281,706.76202
97.281,707.76202
98.281,708.76202
99.281,709.76202
100.281,710.76202
101.281,711.76202
102.281,712.76202
103.281,713.76202
104.281,714.76202
105.281,715.76202
106.281,716.76202
107.281,717.76202
108.281,718.76202
109.281,719.76202
110.281,720.76202
111.281,721.76202
112.281,722.76202
113.281,723.76202
114.281,724.76202
115.281,725.76202
116.281,726.76202
117.281,727.76202
118.281,728.76202
119.281,729.76202
120.281,730.76202
121.281,731.76202
122.281,732.76202
123.281,733.76202
124.281,734.76202
125.281,735.76202
126.281,736.76202
127.281,737.76202
128.281,738.76202
129.281,739.76202
130.281,740.76202
131.281,741.76202
132.281,742.76202
133.281,743.76202
134.281,744.76202
135.281,745.76202
136.281,746.76202
137.281,747.76202
138.281,748.76202
139.281,749.76202
140.281,750.76202
141.281,751.76202
142.281,752.76202
143.281,753.76202
144.281,754.76202
145.281,755.76202
146.281,756.76202
147.281,757.76202
148.281,758.76202
149.281,759.76202
150.281,760.76202
151.281,761.76202
152.281,762.76202
153.281,763.76202
154.281,764.76202
155.281,765.76202
156.281,766.76202
157.281,767.76202
158.281,768.76202
159.281,769.76202
160.281,770.76202
161.281,771.76202
162.281,772.76202
163.281,773.76202
164.281,774.76202
165.281,775.76202
166.281,776.76202
167.281,777.76202
168.281,778.76202
169.281,779.76202
170.281,780.76202
171.281,781.76202
172.281,782.76202
173.281,783.76202
174.281,784.76202
175.281,785.76202
176.281,786.76202
177.281,787.76202
178.281,788.76202
179.281,789.76202
180.281,790.76202
181.281,791.76202
182.281,792.76202
183.281,793.76202
184.281,794.76202
185.281,795.76202
186.281,796.76202
187.281,797.76202
188.281,798.76202
189.281,799.76202
190.281,800.76202
191.281,801.76202
192.281,802.76202
193.281,803.76202
194.281,804.76202
195.281,805.76202
196.281,806.76202
197.281,807.76202
198.281,808.76202
199.281,809.76202
200.281,810.76202
201.281,811.76202
202.281,812.76202
203.281,813.76202
204.281,814.76202
205.281,815.76202
206.281,816.76202
207.281,817.76202
208.281,818.76202
209.281,819.76202
210.281,820.76202
211.281,821.76202
212.281,822.76202
213.281,823.76202
214.281,824.76202
