time.v,acceleration,time.l,lat. X accel.,lat. Y accel.,time.g,Gyro X,Gyro Y,Gyro Z
0.091,0,0.092,0,0,0.093,0,0,0
0.191,0,0.192,0,0,0.193,0,0,0
0.291,0,0.292,0,0,0.293,0,0,0
0.487,1.04297,0.488,-0.015625,-0.015625,0.488,0,-0.07,0.35
0.534,1.03906,0.534,-0.015625,-0.0117188,0.535,0.14,-0.14,-0.07
0.593,1.03516,0.593,-0.015625,-0.0117188,0.593,0.21,-0.14,-0.28
0.692,1.04297,0.692,-0.015625,-0.015625,0.693,0.14,-0.14,0
0.791,1.04297,0.793,-0.0117188,-0.015625,0.794,0.14,-0.14,-0.14
0.891,1.03906,0.892,-0.015625,-0.015625,0.894,0.07,-0.14,0.07
0.992,1.03906,0.992,-0.0117188,-0.0117188,0.994,0.14,-0.07,-0.21
1.092,1.04297,1.093,-0.0117188,-0.0195312,1.094,0.14,-0.07,0.14
1.191,1.04688,1.192,-0.015625,-0.015625,1.194,0.14,-0.14,-0.14
1.293,1.03906,1.293,-0.015625,-0.0117188,1.294,0.14,-0.14,0
1.392,1.03906,1.393,-0.0117188,-0.0117188,1.393,0,-0.14,-0.21
1.491,1.05078,1.493,-0.0117188,-0.0195312,1.494,0.21,-0.21,0.14
1.591,1.03516,1.593,-0.015625,-0.015625,1.593,0.14,-0.21,-0.21
1.692,1.03125,1.693,-0.015625,-0.0117188,1.693,0.07,-0.07,0.07
1.791,1.03906,1.793,-0.015625,-0.015625,1.794,0.07,-0.21,-0.14
1.891,1.03125,1.892,-0.0195312,-0.015625,1.895,0.07,-0.21,0
1.991,1.03906,1.993,-0.0195312,-0.015625,1.994,0.14,-0.21,-0.21
2.091,1.03516,2.092,-0.015625,-0.0117188,2.094,0.14,-0.07,0.07
2.191,1.03125,2.192,-0.015625,-0.015625,2.193,0.07,-0.14,-0.07
2.291,1.03125,2.294,-0.015625,-0.015625,2.294,0.07,-0.14,0
2.391,1.04297,2.393,-0.0195312,-0.015625,2.394,0.21,-0.07,-0.07
2.493,1.04688,2.493,-0.015625,-0.015625,2.494,0.07,-0.14,0
2.592,1.03906,2.593,-0.015625,-0.015625,2.593,0.14,-0.14,0
2.692,1.04297,2.692,-0.015625,-0.015625,2.693,0.07,-0.14,0
2.792,1.03125,2.793,-0.015625,-0.0195312,2.793,0.07,-0.14,-0.14
2.891,1.03906,2.893,-0.0117188,-0.015625,2.894,0,-0.14,0
2.995,1.04297,2.996,-0.015625,-0.015625,2.996,0.07,-0.07,-0.07
3.091,1.03516,3.093,-0.0117188,-0.015625,3.094,0.07,-0.21,0.07
3.192,1.04688,3.192,-0.015625,-0.0195312,3.194,0.14,-0.07,0
3.292,1.03125,3.293,-0.015625,-0.015625,3.294,0,-0.21,0
