time.3,pressure,Pressure MSL,Pressure AGL,time.15,lat,long,GPS MSL,state
0.185,95060.0,535.07,-1.12793,29.281,35.34691,-117.80915,639.76202,Pad
0.474,95059.0,535.157,-1.04077,31.248,35.34691,-117.80915,640.125,Pad
0.585,95055.0,535.508,-0.689331,33.183,35.346911,-117.80915,640.11505,Pad
0.785,95058.0,535.247,-0.950928,35.13,35.346912,-117.80915,640.00604,Pad
0.985,95057.0,535.334,-0.863708,37.0989,35.346912,-117.80915,640.11304,Pad
1.185,95058.0,535.247,-0.950928,39.0559,35.346912,-117.80915,639.87701,Pad
1.385,95053.0,535.683,-0.514954,41.0219,35.346912,-117.80915,639.74701,Pad
1.585,95058.0,535.247,-0.950928,42.9809,35.346911,-117.80915,639.61804,Pad
1.785,95058.0,535.247,-0.950928,44.9788,35.346912,-117.80915,639.37402,Pad
1.985,95059.0,535.157,-1.04077,46.9278,35.346912,-117.80915,639.15906,Pad
2.185,95056.0,535.421,-0.77655,48.8738,35.346912,-117.80915,639.06104,Pad
2.385,95058.0,535.247,-0.950928,50.8108,35.346912,-117.80915,639.00702,Pad
2.586,95061.0,534.982,-1.21515,52.7747,35.346913,-117.80915,638.96704,Pad
2.785,95055.0,535.508,-0.689331,54.7417,35.346913,-117.80915,638.93506,Pad
2.993,95058.0,535.247,-0.950928,56.7066,35.346913,-117.80915,638.93402,Pad
3.185,95059.0,535.157,-1.04077,58.6566,35.346914,-117.80915,638.94104,Pad
3.385,95054.0,535.595,-0.602112,60.6526,35.346914,-117.80915,638.97101,Pad
3.585,95054.0,535.595,-0.602112,62.5996,35.346915,-117.80915,638.98303,Pad
3.785,95055.0,535.508,-0.689331,64.5445,35.346915,-117.80915,638.99902,Pad
3.985,95065.0,534.631,-1.56659,66.4995,35.346915,-117.80915,639.00305,Pad
4.185,95059.0,535.157,-1.04077,68.4575,35.346916,-117.80915,638.98804,Pad
4.385,95058.0,535.247,-0.950928,70.4044,35.346916,-117.80914,638.96204,Pad
4.589,95064.0,534.718,-1.47937,72.3724,35.346917,-117.80914,638.96002,Pad
4.785,95058.0,535.247,-0.950928,74.3134,35.346917,-117.80914,638.99103,Pad
4.985,95057.0,535.334,-0.863708,76.2664,35.346917,-117.80914,638.94202,Pad
5.186,95058.0,535.247,-0.950928,78.2284,35.346917,-117.80914,638.86005,Pad
5.385,95059.0,535.157,-1.04077,80.1804,35.346917,-117.80914,638.76605,Pad
5.585,95058.0,535.247,-0.950928,82.1463,35.346917,-117.80914,638.70703,Pad
5.785,95059.0,535.157,-1.04077,84.1173,35.346918,-117.80914,638.63702,Pad
5.985,95056.0,535.421,-0.77655,86.1042,35.346918,-117.80914,638.56903,Pad
6.185,95058.0,535.247,-0.950928,88.0542,35.346918,-117.80914,638.61102,Pad
6.385,95058.0,535.247,-0.950928,90.0602,35.346918,-117.80914,638.58905,Pad
6.585,95058.0,535.247,-0.950928,91.9532,35.346918,-117.80914,638.52905,Pad
6.785,95060.0,535.07,-1.12793,93.9231,35.346918,-117.80914,638.526,Pad
6.985,95054.0,535.595,-0.602112,95.8781,35.346918,-117.80914,638.48901,Pad
7.185,95053.0,535.683,-0.514954,97.8901,35.346918,-117.80914,638.46002,Pad
7.38599,95060.0,535.07,-1.12793,99.824,35.346918,-117.80914,638.38403,Pad
7.58499,95055.0,535.508,-0.689331,101.806,35.346918,-117.80914,638.31305,Pad
7.78499,95056.0,535.421,-0.77655,103.725,35.346917,-117.80914,638.21204,Pad
7.98499,95059.0,535.157,-1.04077,105.674,35.346917,-117.80914,638.10706,Pad
8.18599,95058.0,535.247,-0.950928,107.668,35.346917,-117.80913,638.00104,Pad
8.38499,95057.0,535.334,-0.863708,109.623,35.346917,-117.80913,637.85706,Pad
