# Simulation 1 (Up to date)
# 4234 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (40.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,3.528e-4,0.071,7.065,0.071,7.065,0,0,0,0,0,0,28.61,-80.6,9.792,89.665,0,0,0,5.117e4,4.078e4,31.739,0.125,NaN,193.156,NaN,0.036,2.558e6,862.54,2.962e-7,0.47,2.347e-7,0.343,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.037e-6,13.4,141.026,90,0,12.087,15,1013.25,340.389,0.01,0.014
0.02,0.003,0.479,40.82,0.479,40.82,0,0,0,0,0,0,28.61,-80.6,9.792,87.686,0,0,0,5.113e4,4.074e4,31.722,0.125,NaN,193.148,NaN,0.035,2.509e6,2587.619,9.253e-5,0.472,7.625e-5,0.344,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.128e-5,13.4,141.026,90,0,11.843,15,1013.25,340.389,0.01,0.017
0.03,0.012,1.225,74.629,1.225,74.629,0,0,0,0,0,0,28.61,-80.6,9.792,83.974,0,0,0,5.109e4,4.07e4,31.706,0.125,NaN,193.141,NaN,0.034,2.469e6,4312.698,0.002,0.473,0.001,0.345,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.568e-4,13.4,141.026,90,0,11.6,15,1013.249,340.389,0.01,0.018
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.029,2.309,108.491,2.309,108.491,0,0,0,0,0,0,28.61,-80.6,9.792,78.507,0,0,0,5.104e4,4.066e4,31.689,0.125,NaN,193.133,NaN,0.034,2.453e6,6037.777,0.01,0.473,0.008,0.345,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.956e-4,13.4,141.026,90,0,11.356,15,1013.247,340.389,0.01,0.019
0.05,0.059,3.732,142.408,3.732,142.408,0,0,0,0,0,0,28.61,-80.6,9.792,71.434,0,0,0,5.1e4,4.062e4,31.672,0.125,NaN,193.125,NaN,0.034,2.481e6,7762.856,0.039,0.472,0.033,0.345,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.779e-4,13.4,141.026,90,0,11.112,15,1013.243,340.389,0.01,0.021
0.06,0.106,5.495,176.377,5.495,176.377,0,0,0,0,0,0,28.61,-80.6,9.792,63.677,0,0,0,5.096e4,4.058e4,31.655,0.125,NaN,193.117,NaN,0.036,2.623e6,9487.935,0.111,0.469,0.083,0.341,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.036e-4,13.4,141.026,90,0,11.108,14.999,1013.238,340.388,0.01,0.022
0.07,0.171,7.599,210.4,7.599,210.4,0,0,0,0,0,0,28.61,-80.6,9.792,55.615,0,0,0,5.092e4,4.054e4,31.639,0.124,NaN,193.11,NaN,0.04,2.848e6,1.121e4,0.258,0.469,0.165,0.341,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.729e-4,13.4,141.026,90,0,11.104,14.999,1013.23,340.388,0.01,0.023
0.08,0.259,10.042,244.475,10.042,244.475,0,0,0,0,0,0,28.61,-80.6,9.792,47.863,0,0,0,5.088e4,4.05e4,31.622,0.124,NaN,193.102,NaN,0.044,3.168e6,1.294e4,0.515,0.469,0.266,0.341,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.4,141.026,90,0,11.1,14.998,1013.22,340.388,0.01,0.024
0.09,0.374,12.827,278.602,12.827,278.602,0,0,0,0,0,0,28.61,-80.6,9.792,40.86,0,0,0,5.084e4,4.046e4,31.605,0.124,NaN,193.094,NaN,0.05,3.59e6,1.466e4,0.915,0.469,0.368,0.341,0.008,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,13.4,141.026,90,0,11.096,14.998,1013.206,340.387,0.01,0.025
