# Simulation 1 (Up to date)
# 2278 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (94.8 m/s)
# 0       ,1           ,2                      ,3                           ,4                   ,5                        ,6                          ,7                           ,8                   ,9                    ,10                    ,11                         ,12          ,13           ,14                               ,15                 ,16             ,17              ,18            ,19      ,20            ,21                                    ,22                                  ,23              ,24              ,25                          ,26
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,3.592e-4,0.072,7.194,0.072,7.194,0,0,0,0,0,0,28.61,-80.6,9.792,54.296,0,0,0,5.078e4,4.078e4,31.569,0.127,NaN,186.743,NaN,3.618e-4,2.623e4,862.54,6.089e-5,1.207,0.465,1.085,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.202e-6,13.4,141.026,90,0,0.1,15,1013.25,340.389,0.01,0.028
0.02,0.003,0.484,41.206,0.484,41.206,0,0,0,0,0,0,28.61,-80.6,9.792,11.68,0,0,0,5.074e4,4.074e4,31.552,0.127,NaN,186.733,NaN,0.001,1.052e5,2587.619,0.002,0.856,1.053,0.734,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.193e-5,13.4,141.026,90,0,0.1,15,1013.25,340.389,0.01,0.033
0.03,0.012,1.236,75.273,1.236,75.273,0,0,0,0,0,0,28.61,-80.6,9.792,4.625,0,0,0,5.07e4,4.07e4,31.535,0.127,NaN,186.724,NaN,0.004,2.642e5,4312.698,0.01,0.709,0.748,0.588,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.583e-4,13.4,141.026,90,0,0.1,15,1013.249,340.389,0.01,0.037
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.03,2.33,109.395,2.33,109.395,0,0,0,0,0,0,28.61,-80.6,9.792,2.458,0,0,0,5.066e4,4.066e4,31.518,0.127,NaN,186.715,NaN,0.007,4.967e5,6037.777,0.03,0.633,0.644,0.512,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.983e-4,13.4,141.026,90,0,0.1,15,1013.247,340.389,0.01,0.04
0.05,0.06,3.765,143.571,3.765,143.571,0,0,0,0,0,0,28.61,-80.6,9.792,1.522,0,0,0,5.062e4,4.062e4,31.501,0.127,NaN,186.705,NaN,0.011,8.022e5,7762.856,0.072,0.584,0.588,0.463,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.82e-4,13.4,141.026,90,0,0.1,15,1013.243,340.389,0.01,0.044
0.06,0.107,5.542,177.801,5.542,177.801,0,0,0,0,0,0,28.61,-80.6,9.792,1.034,0,0,0,5.058e4,4.058e4,31.484,0.127,NaN,186.696,NaN,0.016,1.181e6,9487.935,0.146,0.55,0.552,0.429,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.096e-4,13.4,141.026,90,0,0.1,14.999,1013.238,340.388,0.01,0.048
0.07,0.173,7.662,212.086,7.662,212.086,0,0,0,0,0,0,28.61,-80.6,9.792,0.748,0,0,0,5.054e4,4.054e4,31.467,0.127,NaN,186.687,NaN,0.023,1.632e6,1.121e4,0.266,0.524,0.525,0.403,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.81e-4,13.4,141.026,90,0,0.1,14.999,1013.23,340.388,0.01,0.051
0.08,0.262,10.125,246.425,10.125,246.425,0,0,0,0,0,0,28.61,-80.6,9.792,0.566,0,0,0,5.049e4,4.05e4,31.451,0.127,NaN,186.677,NaN,0.03,2.157e6,1.294e4,0.447,0.504,0.504,0.382,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,13.4,141.026,90,0,0.1,14.998,1013.219,340.388,0.01,0.055
0.09,0.375,12.896,280.604,12.896,280.604,0,0,0,0,0,0,28.61,-80.6,9.792,0.444,0,0,0,5.045e4,4.046e4,31.434,0.127,NaN,186.668,NaN,0.038,2.747e6,1.465e4,0.705,0.49,0.491,0.369,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,13.4,141.026,90,0,0.1,14.998,1013.206,340.387,0.01,0.058
