# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0
0.01,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0
0.02,0,1.787e-4,2.143e-4,0.107,0.129,0,0,0,0,1.184e-4,0.071,28.61,-80.6,89.998,0,0,0,90,0
0.03,8.969e-5,0.026,0.026,5.06,5.061,-4.767e-6,0,4.767e-6,270,8.38e-4,0.073,28.61,-80.6,89.709,0,0,0,90,0
0.04,6.854e-4,0.101,0.101,10.015,10.015,-1.682e-5,0,1.682e-5,270,0.002,0.075,28.61,-80.6,88.879,0,0,0,90,0
0.05,0.002,0.226,0.226,14.972,14.972,-3.636e-5,0,3.636e-5,270,0.002,0.077,28.61,-80.6,87.525,0,0,0,90,0
0.06,0.005,0.401,0.401,19.931,19.931,-6.358e-5,0,6.358e-5,270,0.003,0.079,28.61,-80.6,85.656,0,0,0,90,0
0.07,0.01,0.625,0.625,24.892,24.892,-9.866e-5,0,9.866e-5,270,0.004,0.081,28.61,-80.6,83.299,0,0,0,90,0
0.08,0.018,0.899,0.899,29.855,29.855,-1.418e-4,0,1.418e-4,270,0.005,0.083,28.61,-80.6,80.483,0,0,0,90,0
0.09,0.029,1.222,1.222,34.82,34.82,-1.933e-4,0,1.933e-4,270,0.006,0,28.61,-80.6,77.253,0,0,0,90,0
0.1,0.043,1.595,1.595,39.787,39.787,-2.491e-4,0,2.491e-4,270,0.006,0,28.61,-80.6,73.671,0,0,0,90,0
0.11,0.061,2.018,2.018,44.756,44.756,-3.049e-4,0,3.049e-4,270,0.006,0,28.61,-80.6,69.407,0,0,0,90,0
0.12,0.083,2.49,2.49,49.727,49.727,-3.607e-4,0,3.607e-4,270,0.006,0,28.61,-80.6,64.817,0,0,0,90,0
0.13,0.111,3.012,3.012,54.7,54.7,-4.165e-4,0,4.165e-4,270,0.006,0,28.61,-80.6,60.021,0,0,0,90,0
0.14,0.144,3.584,3.584,59.675,59.675,-4.723e-4,0,4.723e-4,270,0.006,0,28.61,-80.6,55.152,0,0,0,90,0
0.146,0.166,3.951,3.951,62.661,62.661,-5.057e-4,0,5.057e-4,270,0.006,0,28.61,-80.6,52.252,0,0,0,90,0
0.155,0.204,4.516,4.516,62.732,62.732,-5.559e-4,0,5.559e-4,270,0.006,0,28.61,-80.6,48.582,0,0,0,90,0
0.165,0.253,5.143,5.143,62.81,62.81,-6.117e-4,0,6.117e-4,270,0.006,0,28.61,-80.6,45.36,0,0,0,90,0
0.175,0.307,5.772,5.772,62.889,62.889,-6.675e-4,0,6.675e-4,270,0.006,0,28.61,-80.6,42.549,0,0,0,90,0
0.185,0.368,6.401,6.401,62.967,62.967,-7.233e-4,0,7.233e-4,270,0.006,0,28.61,-80.6,40.087,0,0,0,90,0
0.195,0.435,7.031,7.031,63.045,63.045,-7.791e-4,0,7.791e-4,270,0.006,0,28.61,-80.6,37.919,0,0,0,90,0
0.205,0.509,7.662,7.662,63.123,63.123,-8.349e-4,0,8.349e-4,270,0.006,0,28.61,-80.6,36.061,0,0,0,90,0
0.215,0.588,8.294,8.294,63.201,63.201,-8.907e-4,0,8.907e-4,270,0.006,0,28.61,-80.6,34.467,0,0,0,90,0
0.225,0.675,8.926,8.926,63.279,63.279,-9.464e-4,0,9.464e-4,270,0.006,0,28.61,-80.6,33.047,0,0,0,90,0
0.235,0.767,9.559,9.559,63.357,63.357,-0.001,0,0.001,270,0.006,0,28.61,-80.6,31.774,0,0,0,90,0
0.245,0.866,10.193,10.193,63.434,63.434,-0.001,0,0.001,270,0.006,0,28.61,-80.6,30.628,0,0,0,90,0
0.255,0.971,10.828,10.828,63.512,63.512,-0.001,0,0.001,270,0.006,0,28.61,-80.6,29.3,0,0,0,90,0
0.265,1.082,11.463,11.463,63.589,63.589,-0.001,0,0.001,270,0.006,0,28.61,-80.6,27.804,0,0,0,90,0
0.275,1.2,12.1,12.1,63.666,63.666,-0.001,0,0.001,270,0.006,0,28.61,-80.6,26.428,0,0,0,90,0
0.285,1.324,12.737,12.737,63.743,63.743,-0.001,0,0.001,270,0.006,0,28.61,-80.6,25.16,0,0,0,90,0
0.295,1.455,13.374,13.374,63.82,63.82,-0.001,0,0.001,270,0.006,0,28.61,-80.6,23.988,0,0,0,90,0
0.305,1.592,14.013,14.013,63.897,63.897,-0.001,0,0.001,270,0.006,0,28.61,-80.6,22.852,0,0,0,90,0
0.315,1.735,14.652,14.652,63.974,63.974,-0.001,0,0.001,270,0.006,0,28.61,-80.6,21.749,0,0,0,90,0
0.325,1.885,15.292,15.292,64.05,64.05,-0.002,0,0.002,270,0.006,0,28.61,-80.6,20.722,0,0,0,90,0
0.335,2.041,15.933,15.933,64.127,64.127,-0.002,0,0.002,270,0.006,0,28.61,-80.6,19.764,0,0,0,90,0
0.345,2.203,16.575,16.575,64.204,64.204,-0.002,0,0.002,270,0.006,0,28.61,-80.6,18.869,0,0,0,90,0
0.355,2.372,17.217,17.217,64.28,64.28,-0.002,0,0.002,270,0.006,0,28.61,-80.6,18.183,0,0,0,90,0
0.365,2.548,17.861,17.861,64.357,64.357,-0.002,0,0.002,270,0.006,0,28.61,-80.6,17.687,0,0,0,90,0
0.375,2.73,18.505,18.505,64.433,64.433,-0.002,0,0.002,270,0.006,0,28.61,-80.6,17.222,0,0,0,90,0
0.385,2.918,19.149,19.149,64.509,64.509,-0.002,0,0.002,270,0.006,0,28.61,-80.6,16.786,0,0,0,90,0
0.395,3.113,19.795,19.795,64.585,64.585,-0.002,0,0.002,270,0.006,0,28.61,-80.6,16.376,0,0,0,90,0
0.405,3.314,20.441,20.441,64.662,64.662,-0.002,0,0.002,270,0.006,0,28.61,-80.6,15.862,0,0,0,90,0
0.415,3.521,21.088,21.088,64.738,64.738,-0.002,0,0.002,270,0.006,0,28.61,-80.6,15.251,0,0,0,90,0
0.425,3.736,21.736,21.736,64.815,64.815,-0.002,0,0.002,270,0.006,0,28.61,-80.6,14.674,0,0,0,90,0
0.435,3.956,22.384,22.384,64.891,64.891,-0.002,0,0.002,270,0.006,0,28.61,-80.6,14.126,0,0,0,90,0
0.446,4.206,23.099,23.099,64.976,64.976,-0.002,-5.122e-9,0.002,270,0.006,0,28.61,-80.6,13.556,0,0,0,90,0
0.456,4.441,23.748,23.748,65.004,65.004,-0.002,-5.257e-9,0.002,270,0.006,0,28.61,-80.6,13.214,0,0,0,90,0
0.466,4.681,24.399,24.399,65.033,65.033,-0.002,-5.392e-9,0.002,270,0.006,0,28.61,-80.6,12.986,0,0,0,90,0
0.476,4.929,25.049,25.049,65.061,65.061,-0.002,-5.527e-9,0.002,270,0.006,0,28.61,-80.6,12.77,0,0,0,90,0
0.486,5.182,25.7,25.7,65.089,65.089,-0.002,-5.662e-9,0.002,270,0.006,0,28.61,-80.6,12.564,0,0,0,90,0
0.496,5.443,26.351,26.351,65.117,65.117,-0.002,-5.797e-9,0.002,270,0.006,0,28.61,-80.6,12.368,0,0,0,90,0
0.506,5.709,27.002,27.002,65.145,65.145,-0.003,-5.932e-9,0.003,270,0.006,0,28.61,-80.6,12.135,0,0,0,90,0
0.516,5.983,27.654,27.654,65.173,65.173,-0.003,-6.067e-9,0.003,270,0.006,0,28.61,-80.6,11.884,0,0,0,90,0
0.526,6.262,28.306,28.306,65.201,65.208,-0.003,-6.202e-9,0.003,270,0.006,0.966,28.61,-80.6,11.644,0,0,0,90,0
0.541,6.694,29.284,29.284,65.243,65.25,-0.003,-6.496e-9,0.003,270,0.02,0.986,28.61,-80.6,11.271,0,0.495,5.573e-5,89.996,90.006
0.564,7.37,30.753,30.753,65.306,65.314,-0.004,-7.876e-9,0.004,270,0.042,0.981,28.61,-80.6,10.614,0,1.271,-2.145e-5,89.977,90.002
0.597,8.445,32.958,32.958,65.402,65.409,-0.006,-1.361e-8,0.006,270,0.075,0.906,28.61,-80.6,9.581,0,2.481,-2.2e-5,89.913,90
0.647,10.175,36.232,36.232,65.544,65.547,-0.01,-3.33e-8,0.01,270,0.115,0.676,28.61,-80.6,8.175,0,4.351,2.13e-4,89.743,90.001
0.697,12.068,39.513,39.513,65.681,65.682,-0.017,-8.217e-8,0.017,270,0.141,0.336,28.61,-80.6,7.136,0,6.3,2.809e-4,89.477,90.002
0.746,14.072,42.718,42.718,65.813,65.813,-0.024,-1.95e-7,0.024,270,0.145,0.184,28.61,-80.6,5.977,0,8.233,9.629e-5,89.123,90.001
0.796,16.291,46.011,46.011,65.907,65.912,-0.031,-4.022e-7,0.031,269.999,0.119,0.868,28.61,-80.6,4.887,0,10.155,1.217e-5,88.663,90.001
0.846,18.674,49.308,49.308,65.988,66.01,-0.035,-6.925e-7,0.035,269.999,0.055,1.711,28.61,-80.6,3.839,0,11.943,2.934e-4,88.109,90.001
0.896,21.222,52.609,52.609,66.051,66.103,-0.035,-1.076e-6,0.035,269.998,0.052,2.621,28.61,-80.6,3.157,0,13.582,4.898e-4,87.471,90.001
0.946,23.935,55.913,55.913,66.094,66.196,-0.029,-1.586e-6,0.029,269.997,0.209,3.682,28.61,-80.6,2.421,0,15.065,9.408e-4,86.754,90.001
0.996,26.813,59.218,59.22,66.104,66.292,-0.013,-2.287e-6,0.013,269.99,0.425,4.986,28.61,-80.6,1.276,0,16.152,0.002,85.971,90.001
1.046,29.856,62.523,62.527,66.086,66.383,0.015,-3.298e-6,0.015,90.013,0.707,6.271,28.61,-80.6,0.536,0,16.695,0.005,85.148,90.002
1.096,33.065,65.821,65.829,65.813,66.26,0.058,-4.742e-6,0.058,90.005,1.055,7.682,28.61,-80.6,0.475,0,-16.618,0.005,84.311,90.002
1.146,36.438,69.104,69.12,65.508,66.133,0.121,-6.735e-6,0.121,90.003,1.474,9.073,28.61,-80.6,1.319,0,-15.711,0.002,83.5,90.002
1.196,39.975,72.371,72.398,65.199,66.001,0.207,-9.36e-6,0.207,90.003,1.958,10.26,28.61,-80.6,1.724,0,-14.12,0.002,82.752,90.002
1.246,43.675,75.623,75.665,64.877,65.867,0.318,-1.254e-5,0.318,90.002,2.5,11.372,28.61,-80.6,2.158,0,-11.962,0.001,82.097,90.001
1.296,47.537,78.859,78.92,64.57,65.725,0.458,-1.604e-5,0.458,90.002,3.092,12.27,28.61,-80.6,2.416,0,-9.216,0.002,81.566,90.001
1.346,51.561,82.081,82.166,64.309,65.573,0.628,-1.939e-5,0.628,90.002,3.72,12.815,28.61,-80.6,2.357,-1.082e-6,-6.114,0.003,81.182,90
1.396,55.745,85.286,85.398,63.897,65.237,0.83,-2.192e-5,0.83,90.002,4.371,13.157,28.61,-80.6,2.357,-6.17e-7,-2.804,0.003,80.958,89.999
1.446,60.089,88.471,88.614,63.504,64.894,1.065,-2.266e-5,1.065,90.001,5.035,13.362,28.61,-80.6,2.483,0,0.871,0.003,80.907,89.998
1.496,64.592,91.639,91.815,63.213,64.53,1.333,-2.074e-5,1.333,90.001,5.695,12.971,28.61,-80.6,2.103,-9.712e-7,4.655,0.003,81.047,89.997
1.546,69.253,94.794,95.004,62.989,64.149,1.634,-1.547e-5,1.634,90.001,6.324,12.145,28.61,-80.6,1.483,-1.9e-6,7.828,0.004,81.362,89.996
1.596,74.071,97.938,98.181,62.802,63.755,1.965,-6.363e-6,1.965,90,6.904,10.986,28.61,-80.6,0.711,-1.583e-6,9.902,0.009,81.811,89.995
1.646,79.046,101.073,101.345,62.588,63.36,2.324,7.082e-6,2.324,90,7.425,9.857,28.61,-80.6,0.152,-1.354e-6,10.731,0.041,82.331,89.995
1.696,84.178,104.197,104.495,62.364,62.953,2.707,2.534e-5,2.707,89.999,7.886,8.597,28.61,-80.6,0.484,-1.397e-6,-10.312,0.011,82.863,89.993
1.746,89.466,107.309,107.628,62.096,62.549,3.111,4.9e-5,3.111,89.999,8.288,7.519,28.61,-80.6,0.913,-8.454e-7,-8.605,0.005,83.341,89.992
1.796,94.909,110.406,110.744,61.776,62.15,3.535,7.853e-5,3.535,89.999,8.645,6.807,28.61,-80.6,1.065,-1.276e-6,-6.077,0.004,83.71,89.991
1.846,100.506,113.486,113.84,61.443,61.743,3.975,1.142e-4,3.975,89.998,8.966,6.08,28.61,-80.6,1.375,0,-2.823,0.004,83.937,89.991
1.896,106.257,116.549,116.916,61.056,61.341,4.431,1.554e-4,4.431,89.998,9.264,5.905,28.61,-80.6,1.371,1.091e-6,1.088,0.002,83.981,89.992
