Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,-19997,-19.997,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19992,-19.991999999999997,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19990,-19.990000000000002,595.4396973,undefined,undefined,undefined,1.019919991,0.028304001,0.041968003,-0.910000026,-0.629999995,1.330000043
1.76514E+12,-19987,-19.987000000000002,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19986,-19.986,undefined,629.2850342,-117.8091049,35.34692383,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19982,-19.982,undefined,undefined,undefined,undefined,1.01504004,0.026352001,0.040015999,-0.980000019,-0.699999988,1.330000043
1.76514E+12,-19977,-19.977,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19974,-19.974,undefined,undefined,undefined,undefined,1.01504004,0.028304001,0.040991999,-0.980000019,-0.629999995,1.330000043
1.76514E+12,-19972,-19.972,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19967,-19.967,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19966,-19.966,undefined,undefined,undefined,undefined,1.013087988,0.030256001,0.043920003,-0.910000026,-0.629999995,1.25999999
1.76514E+12,-19962,-19.962,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19958,-19.958000000000002,undefined,undefined,undefined,undefined,1.012112021,0.029280001,0.040015999,-0.910000026,-0.629999995,1.330000043
1.76514E+12,-19957,-19.957,596.0059204,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19952,-19.952,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19947,-19.947,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19942,-19.942,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19937,-19.937,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19935,-19.935,undefined,629.2850342,-117.8091049,35.34692383,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19934,-19.934,undefined,undefined,undefined,undefined,1.017968059,0.031232001,0.040015999,-0.910000026,-0.629999995,1.330000043
1.76514E+12,-19932,-19.932,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19927,-19.927,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19926,-19.926,undefined,undefined,undefined,undefined,1.016016006,0.028304001,0.042943999,-0.980000019,-0.629999995,1.330000043
1.76514E+12,-19922,-19.922,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19917,-19.916999999999998,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19912,-19.912,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19907,-19.907,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19902,-19.902,undefined,629.2850342,-117.8091049,35.34692383,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19901,-19.901,595.3994141,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,-19900,-19.9,undefined,undefined,undefined,undefined,1.018944025,0.027328001,0.040991999,-0.910000026,-0.629999995,1.330000043
1.76514E+12,-19897,-19.897,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
